Table 9.  Superdistrict to Superdistrict Trip Summary by Mode - Total Trips,,,,,,,,,,,,
,,,,,,,,,,,,
"Superdistrict 
of Production","Superdistrict 
of Attraction",Vehicle Driver,"Vehicle 
Passenger","Drive 
Alone","Shared 
Ride 2","Shared 
Ride 3+","School 
Bus",Transit,Bike,Walk,Other,"Total 
Modes"
1,1,"38,406","16,280","30,308","16,364","8,015",0,"52,907","4,386","217,807","8,594","338,380"
1,2,"22,199","16,079","13,962","10,226","14,091",0,"25,446","3,130","6,318","3,040","76,212"
1,3,"26,608","4,383","22,649","4,565","3,776",0,"22,785",746,"11,682","2,126","68,330"
1,4,"1,152","2,903",451,"1,486","2,118",0,"3,772",0,"1,429",457,"9,713"
1,5,"6,333","1,175","6,067",963,478,0,"3,066",0,"1,476",452,"12,502"
1,6,"2,253",228,"1,818",463,201,0,"1,325",0,144,0,"3,950"
1,7,778,49,747,31,49,0,"2,054",0,0,55,"2,936"
1,8,"2,943",500,"1,512","1,764",166,0,"3,003",0,0,23,"6,469"
1,9,452,35,452,35,0,0,339,0,0,0,826
1,10,217,0,217,0,0,0,463,0,464,43,"1,187"
1,11,"1,281",0,910,371,0,0,96,0,176,0,"1,553"
1,12,115,27,115,0,27,0,594,0,0,0,736
1,13,179,0,179,0,0,0,52,0,0,0,231
1,14,0,201,0,77,124,0,0,0,0,0,201
1,15,790,651,727,496,218,0,771,0,0,0,"2,212"
1,16,330,168,330,88,80,0,"1,149",0,0,0,"1,647"
1,17,405,162,243,323,0,0,"1,259",0,78,0,"1,904"
1,18,"5,064","2,130","3,313","1,885","1,995",0,"11,486",0,"1,043",0,"19,723"
1,19,"2,383","1,159","2,124",812,607,0,"2,248",0,523,295,"6,608"
1,20,"3,913",351,"3,516",147,601,0,775,0,"1,847",0,"6,886"
1,21,265,0,265,0,0,0,"1,560",0,0,0,"1,825"
1,22,444,103,396,47,103,0,"1,952",0,147,0,"2,646"
1,23,283,115,283,115,0,0,412,0,0,0,810
1,24,547,0,0,547,0,0,333,148,0,0,"1,028"
1,25,193,122,193,71,51,0,317,0,0,0,632
1,26,50,0,50,0,0,0,45,0,0,0,95
1,27,577,24,206,48,347,0,43,0,0,0,644
1,28,95,0,0,95,0,0,0,0,0,0,95
1,29,310,0,238,72,0,0,0,0,74,0,384
1,30,"1,042",144,"1,042",144,0,0,134,0,114,0,"1,434"
1,31,68,68,0,0,137,0,205,0,0,0,341
1,32,696,0,334,363,0,0,852,0,0,0,"1,548"
1,33,930,41,716,255,0,0,"1,093",0,149,0,"2,213"
1,34,"3,466",459,"2,065","1,529",330,0,"1,155",0,36,620,"5,736"
2,1,"43,475","11,582","30,200","13,441","11,416",0,"63,828","8,105","25,515","3,722","156,227"
2,2,"98,181","76,718","61,484","39,568","73,847","1,379","24,377","6,729","99,820","4,739","311,943"
2,3,"31,304","11,366","24,536","11,860","6,274",0,"9,514","1,706","5,960","1,927","61,777"
2,4,"15,376","7,242","6,578","10,863","5,177",0,"2,826",0,842,199,"26,485"
2,5,"12,497","3,088","10,407","2,640","2,539",0,60,0,74,363,"16,082"
2,6,"3,713",499,"3,264",726,222,0,461,0,0,0,"4,673"
2,7,"4,248",385,"3,522","1,093",17,0,661,166,0,0,"5,460"
2,8,"3,612",236,"2,935",95,818,0,445,0,56,0,"4,349"
2,9,"1,654",270,"1,187",516,220,0,818,0,0,0,"2,742"
2,10,"1,505",0,"1,106",250,149,0,464,0,0,0,"1,969"
2,11,474,112,344,241,0,0,0,99,0,0,685
2,12,"1,533",0,471,457,605,0,41,0,0,0,"1,574"
2,13,663,331,663,0,331,0,0,0,0,0,994
2,15,710,116,664,0,162,0,421,0,0,0,"1,247"
2,16,195,0,195,0,0,0,0,0,0,0,195
2,17,"1,800",61,"1,800",61,0,0,0,0,0,0,"1,861"
2,18,"8,977",563,"8,201",979,360,0,"3,303",0,99,35,"12,977"
2,19,"2,933",858,"2,744",271,776,0,"2,334",186,51,0,"6,362"
2,20,"1,257",572,936,230,663,0,67,0,0,0,"1,896"
2,21,"1,566",0,"1,566",0,0,0,110,0,0,0,"1,676"
2,22,"1,123",0,"1,123",0,0,0,490,0,0,0,"1,613"
2,23,786,0,786,0,0,0,0,0,0,0,786
2,24,122,0,122,0,0,0,0,0,0,0,122
2,25,536,0,536,0,0,0,0,0,0,0,536
2,26,166,764,81,170,679,0,0,0,0,0,930
2,27,879,0,879,0,0,0,0,0,0,0,879
2,28,0,177,0,177,0,0,0,0,0,0,177
2,29,506,76,376,76,130,0,0,0,0,0,582
2,30,192,68,123,68,68,0,0,0,0,0,260
2,31,130,130,0,260,0,0,0,0,0,0,260
2,32,558,0,558,0,0,0,0,0,0,0,558
2,33,"5,859",222,"4,457",530,"1,094",0,431,0,0,0,"6,512"
2,34,"5,837",898,"5,078","1,348",308,0,322,74,0,217,"7,348"
3,1,"42,288","18,738","31,391","17,834","11,801",0,"72,132","6,801","11,028","1,649","152,636"
3,2,"30,617","13,508","19,516","11,233","13,376","5,261","10,112","1,295","8,418","1,609","70,820"
3,3,"101,448","63,366","68,613","48,376","47,824","12,470","37,521","7,938","105,062","6,361","334,166"
3,4,"18,137","14,079","10,977","13,242","7,997",0,"10,373",295,"3,822",463,"47,169"
3,5,"41,535","13,632","29,536","18,594","7,037",0,"4,251",120,"10,902",687,"71,127"
3,6,"13,687",971,"12,062","2,287",309,0,786,0,178,0,"15,622"
3,7,"4,246",438,"4,027",292,364,0,378,0,0,0,"5,062"
3,8,"3,788",609,"3,519",878,0,0,222,0,0,0,"4,619"
3,9,"3,079",526,"2,438",677,490,0,339,0,0,0,"3,944"
3,10,504,111,282,0,333,0,176,0,0,0,791
3,11,"1,331",302,"1,070",261,302,0,167,0,0,0,"1,800"
3,12,372,167,248,124,167,0,0,0,0,0,539
3,13,442,273,334,59,322,0,0,0,0,0,715
3,14,28,0,28,0,0,0,0,0,0,0,28
3,15,454,0,318,58,78,0,501,0,0,0,955
3,16,271,0,271,0,0,0,0,0,0,0,271
3,17,535,0,483,0,52,0,250,0,0,0,785
3,18,"7,944","3,463","5,300","1,450","4,655",0,"4,706",0,122,0,"16,235"
3,19,"4,863","2,046","4,471","1,492",946,0,"2,290",0,122,530,"9,851"
3,20,503,618,359,441,321,0,67,0,415,0,"1,603"
3,21,"1,408",0,"1,408",0,0,0,329,0,0,0,"1,737"
3,22,172,0,172,0,0,0,895,0,0,0,"1,067"
3,23,754,0,658,96,0,0,193,0,0,0,947
3,24,357,0,357,0,0,0,128,0,0,0,485
3,25,222,899,149,344,627,0,152,0,145,0,"1,418"
3,26,272,184,38,418,0,0,0,0,0,0,456
3,27,66,0,0,66,0,0,0,143,0,143,352
3,29,350,0,304,0,46,0,0,0,0,0,350
3,30,239,123,198,164,0,0,0,0,0,0,362
3,31,0,46,0,0,46,0,0,0,0,0,46
3,32,150,0,150,0,0,0,0,0,0,0,150
3,33,"3,079",591,"1,889",191,"1,589",0,118,0,0,0,"3,788"
3,34,"2,494","1,090","1,878",805,901,0,48,0,93,0,"3,725"
4,1,"12,178","4,851","7,177","5,792","4,061",0,"32,621","1,206","3,162",131,"54,149"
4,2,"28,358","22,940","15,285","13,265","22,748",0,"4,982",433,"1,188",369,"58,270"
4,3,"27,856","7,221","19,140","12,157","3,779",0,"11,188","1,953","6,639",48,"54,905"
4,4,"53,435","58,001","27,194","38,281","45,961",0,"5,589","1,807","30,308",574,"149,714"
4,5,"17,611","5,079","8,503","8,943","5,245",0,943,0,447,447,"24,527"
4,6,"4,167","3,003","1,241",10,"5,918",0,0,0,0,0,"7,170"
4,7,"2,891",229,"2,618",387,114,0,0,0,0,0,"3,120"
4,8,"2,933",39,949,"1,945",78,0,0,0,0,0,"2,972"
4,9,"3,503","1,501","2,753","2,251",0,0,"1,360",0,0,0,"6,364"
4,10,124,0,92,32,0,0,0,0,0,0,124
4,11,"2,117",223,"1,894",446,0,0,0,0,192,0,"2,532"
4,12,158,0,158,0,0,0,0,0,0,0,158
4,14,88,0,44,0,44,0,0,0,0,0,88
4,15,835,0,835,0,0,0,0,0,0,0,835
4,16,105,0,105,0,0,0,118,0,0,0,223
4,17,454,409,45,0,818,0,46,0,0,0,909
4,18,"2,857",608,"2,857",0,608,0,"3,896",0,0,0,"7,361"
4,19,195,121,74,242,0,0,800,0,0,0,"1,116"
4,20,418,0,418,0,0,0,0,0,0,0,418
4,21,291,0,291,0,0,0,0,0,0,0,291
4,22,352,39,352,39,0,0,223,0,0,0,614
4,23,44,0,44,0,0,0,52,0,0,0,96
4,25,168,0,168,0,0,0,0,0,0,0,168
4,28,84,0,84,0,0,0,0,0,0,0,84
4,29,45,0,45,0,0,0,0,0,0,0,45
4,30,178,0,178,0,0,0,0,0,0,0,178
4,31,523,589,0,66,"1,046",0,0,0,0,0,"1,112"
4,32,0,89,0,89,0,0,0,0,0,0,89
4,33,"1,124",241,"1,124",241,0,0,0,0,0,0,"1,365"
4,34,"1,220",255,"1,010",465,0,0,0,0,0,0,"1,475"
5,1,"16,378","3,225","12,525","4,183","2,896",0,"20,767",0,359,562,"41,291"
5,2,"14,200","5,827","8,443","5,447","6,137",0,"3,575",0,281,116,"23,999"
5,3,"43,972","23,472","30,260","11,617","25,566",0,"5,365",0,897,0,"73,706"
5,4,"10,013","6,167","5,509","5,677","4,995",0,"2,030",0,0,0,"18,210"
5,5,"280,347","140,099","174,836","137,037","108,573",394,"12,536","5,110","77,137","9,118","524,741"
5,6,"38,590","16,112","29,193","12,770","12,740",0,"1,334",56,754,913,"57,759"
5,7,"19,746","5,028","13,303","9,948","1,522",333,"1,094",0,0,0,"26,201"
5,8,"7,896","1,824","6,823","1,281","1,616",0,766,0,63,141,"10,690"
5,9,"5,979","1,295","3,879","1,234","2,161",0,298,0,30,0,"7,602"
5,10,"1,427",405,966,710,156,0,0,0,0,0,"1,832"
5,11,"1,222",0,"1,222",0,0,0,928,0,0,0,"2,150"
5,12,512,0,512,0,0,0,0,0,0,0,512
5,13,548,380,548,380,0,0,0,0,0,0,928
5,14,83,105,30,0,157,0,0,0,0,0,188
5,15,"2,686",404,"2,227",661,202,0,0,0,0,0,"3,090"
5,16,"1,859","1,265","1,257",47,"1,820",0,0,0,0,0,"3,124"
5,17,"3,417",206,"1,912",773,939,0,0,0,0,0,"3,623"
5,18,"2,109",601,"1,541",673,497,0,"1,050",0,53,0,"3,813"
5,19,"1,004",458,683,620,160,0,252,0,0,0,"1,714"
5,20,"1,058",67,"1,058",67,0,0,0,0,0,0,"1,125"
5,21,710,92,653,57,92,0,0,0,0,0,802
5,22,"1,784",40,"1,744",0,79,0,0,0,0,0,"1,824"
5,23,507,0,360,147,0,0,0,0,0,0,507
5,24,81,0,81,0,0,0,"1,198",0,0,0,"1,279"
5,25,129,52,83,99,0,0,0,0,0,0,181
5,26,672,273,399,78,467,0,0,0,0,0,945
5,27,471,0,98,373,0,0,0,0,0,0,471
5,29,26,93,26,0,93,0,0,0,0,0,119
5,32,59,0,59,0,0,0,0,0,0,0,59
5,33,545,0,545,0,0,0,0,0,0,0,545
5,34,762,39,511,289,0,0,155,39,64,0,"1,059"
6,1,"7,841","1,659","6,117","2,898",486,0,"5,277",0,210,55,"15,042"
6,2,"3,540",493,"2,829",685,519,0,698,0,162,0,"4,893"
6,3,"8,185","1,383","6,540","1,935","1,093",0,153,0,322,0,"10,043"
6,4,"2,073",253,"1,646",281,399,0,0,0,93,0,"2,419"
6,5,"36,874","9,829","28,592","10,650","7,459",0,"1,166",0,477,"1,029","49,375"
6,6,"226,009","123,627","146,999","91,068","111,569","2,825","7,534","4,081","36,043","2,882","403,001"
6,7,"57,230","11,126","46,208","13,448","8,700",0,"1,437",152,700,61,"70,706"
6,8,"13,947","2,585","11,145","3,433","1,954",0,"2,121",189,50,0,"18,892"
6,9,"9,763","1,793","8,029","2,416","1,110",0,862,68,93,0,"12,579"
6,10,"2,529",505,"1,725","1,058",250,0,0,0,53,0,"3,087"
6,11,"2,746",523,"2,178",690,401,0,139,0,0,0,"3,408"
6,12,"1,749",47,"1,586",210,0,0,0,0,0,0,"1,796"
6,13,"1,225",0,"1,225",0,0,0,0,0,0,0,"1,225"
6,14,122,0,122,0,0,0,0,0,0,0,122
6,15,959,113,862,210,0,0,0,0,0,0,"1,072"
6,16,"3,892",981,"2,699","1,705",470,0,0,0,0,8,"4,881"
6,17,"3,569",643,"3,300",602,310,0,"1,330",0,0,0,"5,542"
6,18,"3,543",203,"3,280",270,195,0,721,0,0,0,"4,467"
6,19,"2,020",288,"1,708",315,285,0,30,0,0,85,"2,423"
6,20,171,0,171,0,0,0,0,0,0,0,171
6,21,664,91,573,182,0,0,0,0,0,0,755
6,22,293,0,293,0,0,0,0,0,0,0,293
6,23,581,0,384,197,0,0,0,0,0,0,581
6,24,271,0,271,0,0,0,0,0,0,0,271
6,25,103,0,0,0,103,0,0,0,0,0,103
6,26,248,229,191,0,286,0,0,0,0,0,477
6,27,45,0,0,45,0,0,0,0,0,0,45
6,28,0,487,0,487,0,0,0,0,0,0,487
6,29,0,78,0,0,78,0,0,0,0,0,78
6,31,430,0,430,0,0,0,0,0,0,0,430
6,33,47,0,0,47,0,0,0,0,85,0,132
6,34,122,0,122,0,0,0,258,0,0,0,380
7,1,"4,300",219,"3,638",431,450,0,"3,946",0,117,0,"8,582"
7,2,"2,296",404,"2,111",198,391,0,0,166,44,0,"2,910"
7,3,"1,369",542,863,686,363,0,15,0,0,0,"1,926"
7,4,"1,540",463,"1,366",637,0,0,0,0,0,0,"2,003"
7,5,"12,347","3,113","9,332","2,474","3,654",0,263,91,0,207,"16,021"
7,6,"37,954","11,682","30,125","9,947","9,565",0,"1,689",372,564,152,"52,413"
7,7,"248,046","96,753","173,695","100,534","70,569","14,753","11,973","19,774","57,569","3,139","452,007"
7,8,"55,990","11,784","43,559","15,522","8,692",178,"1,424","8,408","1,428",496,"79,708"
7,9,"18,363","3,069","15,294","3,766","2,372",0,898,62,80,0,"22,472"
7,10,"6,096",525,"5,417","1,143",61,0,0,0,0,70,"6,691"
7,11,"3,384",373,"3,109",320,328,0,338,0,51,0,"4,146"
7,12,"2,720",0,"2,481",45,193,0,0,0,0,0,"2,720"
7,13,438,0,337,101,0,0,0,0,0,0,438
7,14,231,35,231,0,35,0,0,0,0,27,293
7,15,281,0,120,161,0,0,0,0,0,0,281
7,16,"6,216","2,407","5,692","1,751","1,180",0,0,0,0,0,"8,623"
7,17,"2,421",136,"1,960",597,0,0,0,0,0,0,"2,557"
7,18,"1,789",0,"1,666",77,45,0,0,33,0,0,"1,822"
7,19,"2,484",148,"2,484",0,148,0,52,0,0,85,"2,769"
7,20,417,437,271,0,582,0,0,0,0,0,854
7,21,37,0,37,0,0,0,0,0,0,0,37
7,22,327,86,327,0,86,0,0,0,0,0,413
7,23,149,0,149,0,0,0,0,0,0,0,149
7,24,68,0,68,0,0,0,0,0,0,0,68
7,25,190,88,102,88,88,0,0,0,0,0,278
7,26,51,0,0,51,0,0,0,0,0,0,51
7,28,95,0,95,0,0,0,0,0,0,0,95
7,29,0,350,0,202,148,0,0,0,0,0,350
7,30,194,0,96,98,0,0,0,0,0,0,194
7,31,44,0,44,0,0,0,0,0,0,0,44
7,33,"3,792",195,"3,475",512,0,0,0,0,0,0,"3,987"
7,34,54,0,54,0,0,0,0,0,0,0,54
