bridgeID,StructureID,Start Node,End Node,"Millbrae-Richmond (1=yes, 0=no)",Richmond-Fremont,SFO-Bay Point,Bay Point-Montgomery,Bay Point-Daly City,Concord-Daly City,Concord-24th St,Pleasant Hill - Daly City,Pleasant Hill - Montgomery,Montogmery- Concord,24th st- bay point,daly city - dublin,daly city - fremont,Notes
-1,-1,Embarcadero,West Oakland,1,0,1,1,1,1,1,1,1,1,1,1,1,
3152,1409,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3151,1408,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3150,1407,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3149,1406,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3148,1405,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3147,1404,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3146,1403,Colma,Daly City,1,0,1,0,0,0,0,0,0,0,0,0,0,
3145,1402,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3144,1401,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3143,1400,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3142,1399,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3141,1398,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3140,1397,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3139,1396,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3138,1395,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3137,1394,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3136,1393,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3135,1392,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3134,1391,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3133,1390,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3132,1389,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3131,1388,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3130,1387,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3129,1386,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3128,1385,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3127,1384,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3126,1383,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3125,1382,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3124,1381,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3123,1380,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3122,1379,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3121,1378,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3120,1377,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3119,1376,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3118,1375,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3117,1374,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3116,1373,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3115,1372,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3114,1371,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3113,1370,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3112,1369,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3111,1368,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3110,1367,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3109,1366,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3108,1365,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3107,1364,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3106,1363,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3105,1362,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3104,1361,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3103,1360,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3102,1359,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3101,1358,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3100,1357,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3099,1356,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3098,1355,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3097,1354,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3096,1353,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3095,1352,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3094,1351,Daly City,Balboa Park,1,0,1,0,1,1,0,1,0,0,0,1,1,
3093,1350,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3092,1349,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3091,1348,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3090,1347,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3089,1346,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3088,1345,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3087,1344,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3086,1343,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3085,1342,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3084,1341,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3083,1340,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3082,1339,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3081,1338,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3080,1337,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3079,1336,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3078,1335,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3077,1334,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3076,1333,Fremont,Union City,0,1,0,0,0,0,0,0,0,0,0,0,1,
3075,1332,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3074,1331,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3073,1330,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3072,1329,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3071,1328,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3070,1327,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3069,1326,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3068,1325,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3067,1324,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3066,1323,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3065,1322,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3064,1321,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3063,1320,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3062,1319,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3061,1318,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3060,1317,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3059,1316,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3058,1315,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3057,1314,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3056,1313,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3055,1312,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3054,1311,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3053,1310,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3052,1309,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3051,1308,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3050,1307,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3049,1306,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3048,1305,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3047,1304,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3046,1303,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3045,1302,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3044,1301,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3043,1300,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3042,1299,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3041,1298,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3040,1297,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
3039,1296,Union City,South Hayward,0,1,0,0,0,0,0,0,0,0,0,0,1,
