lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.44513,12.89575,12.49624,12.57271,13.07726,12.75192,12.62712,13.15242,12.85272,12.69075,13.2389,12.96572,0,1,0
13.88268,12.90311,12.54501,14.07054,13.0848,12.79838,14.13751,13.15992,12.89783,14.20857,13.24631,13.0091,1,1,1
13.26132,12.89865,12.51569,13.43336,13.08023,12.77044,13.49712,13.15537,12.8707,13.56629,13.24182,12.983,2,1,2
13.29113,12.94947,12.54194,13.45824,13.12195,12.78968,13.52036,13.19377,12.88762,13.58786,13.27667,12.99759,3,2,0
13.91538,12.95387,12.57154,14.1019,13.12651,12.81816,14.16848,13.19832,12.91537,14.23917,13.28119,13.02437,4,2,1
13.30479,12.94954,12.54241,13.47379,13.12203,12.79018,13.53656,13.19385,12.88813,13.60471,13.27675,12.99809,5,2,2
13.29605,12.93287,12.53071,13.46579,13.10593,12.77828,13.52878,13.17799,12.87619,13.59714,13.26117,12.98616,6,3,0
13.85278,12.93673,12.55661,14.04697,13.11,12.80364,14.1167,13.18209,12.90106,14.19093,13.26526,13.01033,7,3,1
13.25278,12.93265,12.52922,13.42653,13.10573,12.77703,13.49141,13.1778,12.87504,13.562,13.261,12.98511,8,3,2
13.30096,13.01745,12.58733,13.46838,13.18126,12.82778,13.53117,13.24982,12.92323,13.59966,13.3292,13.03063,9,4,0
13.97442,13.02204,12.61897,14.15881,13.18603,12.85823,14.22467,13.25459,12.9529,14.29461,13.33393,13.05927,10,4,1
13.36946,13.01779,12.5897,13.53445,13.18159,12.8299,13.59579,13.25014,12.92524,13.66241,13.3295,13.03251,11,4,2
13.34163,12.97134,12.56793,13.51027,13.14039,12.81009,13.57281,13.21095,12.90616,13.64065,13.2925,13.01423,12,5,0
13.83628,12.97468,12.59041,14.02328,13.14389,12.83197,14.09036,13.21445,12.92756,14.16176,13.29599,13.03498,13,5,1
13.25537,12.97091,12.56499,13.42222,13.13995,12.80731,13.48459,13.21051,12.90346,13.55254,13.29207,13.01164,14,5,2
13.23261,12.9316,12.53957,13.40216,13.10421,12.78396,13.4654,13.17613,12.88087,13.53424,13.2592,12.98987,15,6,0
13.71702,12.93463,12.55978,13.91121,13.10743,12.80394,13.98137,13.17938,12.90053,14.05628,13.26245,13.00905,16,6,1
13.15698,12.93124,12.53718,13.32887,13.10387,12.78181,13.3936,13.1758,12.87883,13.46436,13.25888,12.98797,17,6,2
13.15908,12.93698,12.54512,13.33077,13.10916,12.78856,13.39544,13.18094,12.8852,13.46614,13.26386,12.99396,18,7,0
13.75131,12.94061,12.56929,13.93943,13.11293,12.8119,14.00711,13.18471,12.90796,14.07927,13.26759,13.01595,19,7,1
13.18192,12.93708,12.54582,13.35063,13.10925,12.78912,13.41395,13.18102,12.88571,13.4831,13.26394,12.99441,20,7,2
13.19421,12.95612,12.55612,13.36077,13.12457,12.79623,13.42339,13.19506,12.89187,13.49183,13.27666,12.99967,21,8,0
13.91368,12.96093,12.58827,14.09997,13.12956,12.82727,14.16646,13.20005,12.92214,14.23703,13.2816,13.02891,22,8,1
13.30377,12.95665,12.55971,13.47145,13.1251,12.79959,13.53372,13.19559,12.89511,13.60136,13.27718,13.00277,23,8,2
13.27951,12.92334,12.55863,13.45037,13.0953,12.79641,13.51373,13.16722,12.8914,13.58248,13.25045,12.99864,24,9,0
