lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47152,14.80573,11.73532,21.4645,14.82016,11.97849,21.47594,14.83969,12.07235,21.5736,14.94073,12.20475,0,1,0
21.49964,15.05237,12.56226,21.49694,15.09523,12.7478,21.50968,15.12251,12.81908,21.60679,15.21863,12.92472,1,1,1
21.49127,14.98441,12.377,21.4873,15.0202,12.57188,21.49966,15.04558,12.64694,21.59693,15.14291,12.75717,2,1,2
21.55973,15.03951,12.38472,21.55235,15.07048,12.57734,21.5619,15.09303,12.6516,21.65307,15.18566,12.76111,3,2,0
21.5656,15.08822,12.52577,21.55918,15.12491,12.71225,21.56902,15.14902,12.78366,21.66007,15.24058,12.8887,4,2,1
21.55842,15.02835,12.35047,21.55088,15.05844,12.54596,21.56037,15.0807,12.62111,21.65155,15.1733,12.73106,5,2,2
21.48872,14.97114,12.33835,21.4769,14.99985,12.53404,21.48272,15.01998,12.60902,21.56732,15.10762,12.71839,6,3,0
21.49469,15.02056,12.47845,21.48424,15.05792,12.67396,21.49054,15.08093,12.74831,21.57521,15.16898,12.85577,7,3,1
21.48745,14.9603,12.30582,21.47569,14.98994,12.50895,21.48155,15.01056,12.58648,21.56623,15.09895,12.69809,8,3,2
21.65254,15.09822,12.33827,21.64528,15.12662,12.53864,21.65472,15.14836,12.61556,21.74243,15.23871,12.72693,9,4,0
21.66286,15.18534,12.60591,21.65701,15.22189,12.78841,21.66693,15.24617,12.85929,21.75479,15.33738,12.96813,10,4,1
21.65551,15.12405,12.4228,21.64851,15.15371,12.6137,21.65805,15.17593,12.68795,21.7459,15.26731,12.80048,11,4,2
21.5014,14.99962,12.40548,21.4891,15.02986,12.59787,21.49374,15.05002,12.67231,21.57043,15.13351,12.78406,12,5,0
21.50721,15.04696,12.53514,21.49586,15.08258,12.72137,21.50082,15.10427,12.79297,21.57747,15.18717,12.9003,13,5,1
21.4995,14.98368,12.35926,21.48688,15.01198,12.55388,21.49139,15.03136,12.62887,21.56796,15.11405,12.74002,14,5,2
21.34739,14.8621,12.33796,21.32342,14.88673,12.53346,21.31844,14.90099,12.60829,21.3799,14.97353,12.71872,15,6,0
21.35006,14.88375,12.3946,21.3268,14.91284,12.59114,21.32206,14.92837,12.66528,21.38344,14.99999,12.77183,16,6,1
21.34287,14.82447,12.23443,21.31824,14.84567,12.43882,21.31298,14.85844,12.51617,21.37417,14.92932,12.62663,17,6,2
21.33165,14.81597,12.23774,21.30726,14.8379,12.44245,21.3017,14.85067,12.51991,21.3585,14.91838,12.6301,18,7,0
21.34061,14.88918,12.43127,21.31767,14.91883,12.62257,21.31266,14.93426,12.695,21.36963,15.00236,12.79924,19,7,1
21.33284,14.826,12.26569,21.30852,14.84793,12.46577,21.30297,14.86066,12.54171,21.35973,14.92794,12.65012,20,7,2
21.37646,14.86089,12.26952,21.35613,14.88419,12.46811,21.35308,14.8981,12.54363,21.40492,14.96125,12.65121,21,8,0
21.39298,14.9924,12.60621,21.37544,15.0305,12.78772,21.37358,15.05039,12.85821,21.42691,15.12223,12.97002,22,8,1
21.38287,14.91369,12.41312,21.36359,14.94299,12.60329,21.36105,14.95967,12.67703,21.41377,15.02873,12.79103,23,8,2
21.19488,14.77355,12.40515,21.16952,14.8056,12.59552,21.16004,14.82033,12.66906,21.18445,14.87307,12.78163,24,9,0
21.21409,14.91242,12.69745,21.19205,14.9585,12.87419,21.18402,14.97892,12.94305,21.21051,15.04004,13.05466,25,9,1
21.20016,14.8134,12.49377,21.17567,14.84938,12.67899,21.16659,14.86581,12.75095,21.19164,14.92154,12.86395,26,9,2
21.07831,14.72967,12.49145,21.06261,14.77677,12.67932,21.05898,14.79868,12.75227,21.08113,14.85489,12.8656,27,10,0
21.0955,14.84648,12.71291,21.08246,14.90297,12.88941,21.07983,14.92775,12.95728,21.10352,14.98863,13.06707,28,10,1
21.07918,14.73591,12.50391,21.06351,14.78282,12.68981,21.05982,14.80415,12.76129,21.08188,14.85963,12.87299,29,10,2
21.45456,15.00492,12.52925,21.44609,15.0429,12.71315,21.45132,15.06498,12.78435,21.50966,15.13815,12.89706,30,11,0
21.46295,15.06942,12.68542,21.4563,15.11746,12.86991,21.46232,15.14384,12.94245,21.52152,15.22179,13.05836,31,11,1
21.45255,14.98894,12.48818,21.44415,15.02817,12.68057,21.44951,15.0515,12.756,21.50805,15.12635,12.87323,32,11,2
21.59164,15.09625,12.49563,21.58695,15.13353,12.68715,21.59725,15.15875,12.76255,21.67979,15.24965,12.88133,33,12,0
21.59662,15.13667,12.60767,21.59242,15.17611,12.78896,21.60277,15.20109,12.85909,21.68487,15.28833,12.96738,34,12,1
21.5888,15.07245,12.42562,21.5834,15.10503,12.61541,21.59337,15.12802,12.689,21.67541,15.21511,12.80083,35,12,2
21.57912,15.06464,12.42424,21.57718,15.10033,12.61558,21.59022,15.12578,12.68983,21.67947,15.21843,12.80253,36,13,0
21.5856,15.11799,12.57605,21.58479,15.16047,12.76288,21.59817,15.18787,12.83496,21.68731,15.27945,12.94262,37,13,1
21.57802,15.05528,12.396,21.57602,15.09089,12.59122,21.58905,15.11637,12.66672,21.67822,15.20835,12.77826,38,13,2
21.53336,15.01889,12.38781,21.53286,15.05698,12.58444,21.54727,15.08394,12.66044,21.64116,15.17963,12.77268,39,14,0
21.54186,15.08841,12.58119,21.5425,15.13262,12.76568,21.55721,15.16091,12.83663,21.65082,15.25445,12.94157,40,14,1
21.53379,15.02253,12.39856,21.53324,15.06005,12.59218,21.54761,15.08662,12.66687,21.64135,15.1812,12.7764,41,14,2
21.37967,14.89981,12.37553,21.38106,14.94351,12.57243,21.39699,14.97268,12.64815,21.49515,15.07064,12.75847,42,15,0
21.39067,14.98606,12.59057,21.39382,15.03901,12.77863,21.41028,15.07077,12.85091,21.50834,15.16811,12.95777,43,15,1
21.38074,14.90854,12.39862,21.38241,14.95397,12.59617,21.39845,14.98381,12.67226,21.49667,15.08234,12.78352,44,15,2
21.44098,14.95695,12.41679,21.44586,15.00306,12.61338,21.46359,15.03359,12.68915,21.55603,15.12778,12.79944,45,16,0
21.44741,15.0084,12.55033,21.45332,15.06021,12.74171,21.47136,15.09231,12.8154,21.56366,15.18536,12.92144,46,16,1
21.43909,14.9414,12.37414,21.44376,14.9865,12.57439,21.46145,15.01692,12.65169,21.55387,15.11094,12.76217,47,16,2
21.16166,14.72851,12.34963,21.17351,14.78818,12.55523,21.19519,14.82424,12.63418,21.28432,14.91636,12.74499,48,17,0
21.17715,14.84303,12.59604,21.19087,14.91021,12.785,21.21311,14.94827,12.85874,21.3034,15.04761,12.97805,49,17,1
21.16512,14.7551,12.40984,21.17726,14.81562,12.60912,21.19907,14.8522,12.68683,21.28911,14.95071,12.80833,50,17,2
21.05493,14.67474,12.39735,21.06393,14.73676,12.59717,21.0809,14.77129,12.67496,21.1468,14.85487,12.79547,51,18,0
21.05329,14.66261,12.37194,21.06222,14.72474,12.57526,21.07916,14.75931,12.65406,21.14481,14.84135,12.77276,52,18,1
21.04383,14.58987,12.21185,21.0514,14.64565,12.42535,21.06791,14.67849,12.50789,21.13311,14.75857,12.62871,53,18,2
20.71935,14.35565,12.19756,20.71884,14.41796,12.41061,20.72518,14.44821,12.49245,20.74697,14.50502,12.61109,54,19,0
20.71935,14.35565,12.19756,20.71884,14.41796,12.41061,20.72518,14.44821,12.49245,20.74697,14.50502,12.61109,55,19,1
20.71935,14.35565,12.19756,20.71884,14.41796,12.41061,20.72518,14.44821,12.49245,20.74697,14.50502,12.61109,56,19,2
21.06382,14.6058,12.21891,21.05737,14.65009,12.42689,21.06175,14.67396,12.50718,21.09466,14.73141,12.62496,57,20,0
21.08489,14.76256,12.55109,21.08138,14.81905,12.73643,21.08675,14.8463,12.80755,21.12091,14.90774,12.91626,58,20,1
21.07214,14.6703,12.36273,21.06673,14.71888,12.55823,21.07141,14.7436,12.63323,21.10461,14.80141,12.74466,59,20,2
