lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47152,14.8021,11.68547,21.46449,14.81394,11.90998,21.47593,14.83225,11.99594,21.57359,14.93231,12.12068,0,1,0
21.50165,15.06534,12.58166,21.49923,15.10774,12.75568,21.51203,15.1344,12.8217,21.60903,15.22896,12.92087,1,1,1
21.49269,14.99323,12.38575,21.48891,15.02813,12.56748,21.50132,15.05277,12.63663,21.59851,15.14866,12.73988,2,1,2
21.56105,15.04783,12.39325,21.55386,15.07801,12.57285,21.56346,15.09988,12.64124,21.65457,15.19117,12.74382,3,2,0
21.56775,15.10292,12.55181,21.56165,15.13952,12.72624,21.57158,15.1632,12.79228,21.66252,15.2532,12.89037,4,2,1
21.55994,15.03842,12.36441,21.55262,15.06792,12.54629,21.56218,15.0896,12.61541,21.65328,15.18078,12.718,5,2,2
21.49035,14.98186,12.35292,21.47878,15.00998,12.53494,21.48467,15.02953,12.60388,21.5692,15.1157,12.70583,6,3,0
21.49699,15.03622,12.50582,21.48688,15.07346,12.68866,21.49329,15.09604,12.75744,21.57787,15.18248,12.85774,7,3,1
21.48906,14.97105,12.32061,21.47755,15.00006,12.5096,21.48349,15.02009,12.58095,21.56811,15.10699,12.685,8,3,2
21.65391,15.1075,12.35168,21.64685,15.13532,12.5381,21.65635,15.15651,12.6089,21.744,15.24553,12.71284,9,4,0
21.6648,15.19856,12.62935,21.65923,15.23497,12.80062,21.66923,15.25885,12.86647,21.75701,15.34865,12.96883,10,4,1
21.65688,15.13309,12.43513,21.65008,15.16218,12.6132,21.65968,15.18386,12.68176,21.74747,15.27394,12.78739,11,4,2
21.503,15.00989,12.41831,21.49094,15.03948,12.59764,21.49566,15.05904,12.66628,21.57229,15.14112,12.77098,12,5,0
21.50847,15.05418,12.53964,21.49734,15.08906,12.71513,21.50236,15.11018,12.78186,21.57898,15.19183,12.88321,13,5,1
21.50039,14.98815,12.35509,21.48792,15.01531,12.53729,21.49248,15.03396,12.6067,21.56902,15.11543,12.71135,14,5,2
21.34842,14.86728,12.33476,21.32464,14.89067,12.51763,21.31973,14.90413,12.5868,21.38118,14.97531,12.69059,15,6,0
21.35074,14.88604,12.38436,21.32767,14.91403,12.57033,21.323,14.92885,12.63958,21.38439,14.99937,12.74037,16,6,1
21.34335,14.82514,12.2173,21.31886,14.84478,12.40928,21.31364,14.85665,12.48099,21.37484,14.92634,12.58504,17,6,2
21.33214,14.81658,12.22012,21.30789,14.83688,12.41212,21.30237,14.84871,12.48383,21.35918,14.91518,12.58746,18,7,0
21.34131,14.89148,12.42115,21.31856,14.91998,12.60183,21.31362,14.93467,12.66935,21.37061,15.00164,12.76778,19,7,1
21.33334,14.82666,12.24871,21.30914,14.84698,12.43629,21.30365,14.85877,12.50653,21.36041,14.92482,12.60845,20,7,2
21.37694,14.86151,12.25246,21.35673,14.88323,12.43842,21.35373,14.89623,12.50817,21.40558,14.95816,12.60914,21,8,0
21.39382,14.99577,12.60069,21.37646,15.03282,12.77268,21.37467,15.05199,12.83872,21.42801,15.12271,12.94545,22,8,1
21.38346,14.91527,12.40098,21.36432,14.9431,12.5797,21.36182,14.95889,12.64819,21.41454,15.02675,12.75642,23,8,2
21.1956,14.77546,12.39273,21.1704,14.80578,12.57135,21.16098,14.81948,12.63949,21.18542,14.87076,12.7461,24,9,0
21.22089,14.95491,12.76733,21.20009,15.00361,12.93322,21.19271,15.02537,12.99823,21.22019,15.08937,13.10823,25,9,1
21.20499,14.84536,12.54749,21.1814,14.88299,12.71976,21.17277,14.90026,12.78688,21.19855,14.95808,12.89706,26,9,2
21.08376,14.76421,12.54455,21.06902,14.81265,12.71911,21.06586,14.83523,12.78709,21.08884,14.89362,12.89753,27,10,0
21.10318,14.89178,12.78138,21.09146,14.95054,12.94702,21.08949,14.97652,13.0111,21.11432,15.04043,13.11935,28,10,1
21.08464,14.77034,12.55655,21.06993,14.8186,12.7294,21.06672,14.84063,12.79602,21.08961,14.89832,12.9049,29,10,2
21.45831,15.03112,12.57953,21.45048,15.07036,12.75077,21.45599,15.09296,12.81726,21.5147,15.16735,12.92728,30,11,0
21.46357,15.07102,12.67557,21.45707,15.11796,12.85136,21.46315,15.1437,12.91992,21.52236,15.22071,13.03152,31,11,1
21.45298,14.98916,12.4722,21.44469,15.02692,12.65397,21.4501,15.04943,12.72464,21.50864,15.12325,12.83683,32,11,2
21.59202,15.0966,12.48102,21.58742,15.13267,12.66271,21.59775,15.15721,12.73369,21.68029,15.24728,12.84781,33,12,0
21.5987,15.15053,12.63088,21.59479,15.1898,12.80099,21.60523,15.21435,12.8661,21.68725,15.30014,12.96792,34,12,1
21.59026,15.08195,12.43767,21.58508,15.1139,12.61468,21.59511,15.13631,12.6826,21.67708,15.22208,12.78753,35,12,2
21.5806,15.07418,12.43603,21.57887,15.1092,12.61456,21.59196,15.13405,12.68314,21.68114,15.22534,12.789,36,13,0
21.58771,15.1321,12.59982,21.58718,15.17436,12.77505,21.60065,15.20129,12.84197,21.68969,15.29136,12.94299,37,13,1
21.5795,15.06493,12.40817,21.57771,15.09986,12.59023,21.59079,15.12474,12.65994,21.67989,15.21534,12.76443,38,13,2
21.53491,15.02894,12.40047,21.53462,15.06632,12.58388,21.54909,15.09265,12.65407,21.64289,15.18689,12.75926,39,14,0
21.54357,15.09914,12.59519,21.54446,15.1429,12.76894,21.55924,15.17067,12.83504,21.65277,15.26288,12.93396,40,14,1
21.535,15.02966,12.40262,21.53462,15.06631,12.58384,21.54904,15.09221,12.65301,21.64273,15.18556,12.75602,41,14,2
21.38107,14.90791,12.38002,21.38268,14.95059,12.56437,21.39866,14.97902,12.63451,21.49674,15.07557,12.73824,42,15,0
21.39291,14.9999,12.60919,21.39636,15.05224,12.78609,21.41289,15.0833,12.85331,21.51082,15.17899,12.95393,43,15,1
21.38233,14.91803,12.40684,21.38421,14.96242,12.59161,21.40029,14.99145,12.66197,21.49842,15.08846,12.7665,44,15,2
21.44247,14.96584,12.42358,21.44754,15.01091,12.60735,21.46531,15.04064,12.6774,21.55768,15.13339,12.781,45,16,0
21.44853,15.01401,12.54916,21.45463,15.06493,12.73046,21.47273,15.09641,12.79964,21.56497,15.18828,12.90015,46,16,1
21.43987,14.94459,12.36486,21.44468,14.98839,12.55335,21.46241,15.01807,12.62547,21.55479,15.11093,12.72989,47,16,2
21.1627,14.73239,12.33976,21.17472,14.79041,12.53342,21.19645,14.82554,12.60711,21.28554,14.91626,12.71171,48,17,0
21.17747,14.84159,12.5783,21.19132,14.90728,12.75875,21.21361,14.94458,12.82863,21.30391,15.04311,12.94411,49,17,1
21.16535,14.75276,12.38669,21.17757,14.81137,12.57569,21.19942,14.84702,12.64882,21.28947,14.94461,12.76583,50,17,2
