lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.41827,12.85575,12.43723,12.53045,13.01741,12.66983,12.57748,13.08349,12.7605,12.63196,13.15902,12.86154,0,1,0
13.87545,12.8634,12.48883,14.06032,13.0254,12.7201,14.12583,13.09152,12.8098,14.19504,13.16703,12.90952,1,1,1
13.24886,12.85877,12.45783,13.41501,13.02056,12.68989,13.47592,13.08665,12.78017,13.54151,13.16217,12.88068,2,1,2
13.27813,12.90854,12.4811,13.43948,13.06178,12.70666,13.4988,13.12474,12.79477,13.56277,13.1969,12.89307,3,2,0
13.90801,12.91311,12.5125,14.09165,13.06661,12.73753,14.15682,13.12961,12.82514,14.22573,13.20178,12.92273,4,2,1
13.29204,12.90861,12.48161,13.4554,13.06187,12.7072,13.51543,13.12482,12.79532,13.58012,13.19699,12.89363,5,2,2
13.28292,12.89043,12.46782,13.44693,13.04391,12.69288,13.50715,13.10696,12.78082,13.57202,13.17922,12.87896,6,3,0
13.84453,12.89445,12.49533,14.03573,13.04824,12.72042,14.104,13.11135,12.8081,14.17639,13.18365,12.90579,7,3,1
13.23888,12.8902,12.46622,13.40674,13.0437,12.69151,13.46877,13.10676,12.77955,13.5358,13.17903,12.87779,8,3,2
13.28747,12.97766,12.52676,13.44897,13.12235,12.74464,13.50892,13.1821,12.83013,13.57384,13.25078,12.92573,9,4,0
13.96808,12.98245,12.56038,14.14963,13.12742,12.77772,14.21411,13.18721,12.86268,14.2823,13.2559,12.95751,10,4,1
13.35766,12.97802,12.52931,13.5171,13.12271,12.74697,13.57575,13.18244,12.83236,13.63899,13.25111,12.92784,11,4,2
13.33103,12.93474,12.51395,13.49405,13.08418,12.73286,13.55386,13.14569,12.81869,13.61828,13.21629,12.91464,12,5,0
13.82979,12.93821,12.53766,14.01355,13.08787,12.75648,14.07906,13.14943,12.84202,14.14847,13.22005,12.93753,13,5,1
13.24372,12.9343,12.51085,13.40439,13.08371,12.72985,13.46378,13.14522,12.81574,13.52799,13.21582,12.91177,14,5,2
13.2219,12.89744,12.48969,13.38539,13.05063,12.71097,13.4457,13.11359,12.79769,13.51086,13.18577,12.89461,15,6,0
13.71047,12.90058,12.51093,13.90118,13.05403,12.73245,13.96967,13.11705,12.81903,14.04249,13.18927,12.91568,16,6,1
13.14543,12.89707,12.48718,13.31082,13.05027,12.70866,13.37242,13.11323,12.79547,13.43927,13.18542,12.89251,17,6,2
13.14742,12.90263,12.495,13.31257,13.05531,12.71521,13.3741,13.11807,12.80159,13.44086,13.19006,12.89819,18,7,0
13.74488,12.90639,12.52039,13.92955,13.05928,12.7403,13.99557,13.12208,12.82631,14.06563,13.19407,12.92236,19,7,1
13.17051,12.90274,12.49573,13.33278,13.0554,12.71582,13.39299,13.11816,12.80215,13.45823,13.19014,12.89869,20,7,2
13.18312,12.92295,12.50735,13.34296,13.07117,12.72289,13.40235,13.1323,12.80771,13.46675,13.20254,12.90274,21,8,0
13.90829,12.92793,12.54107,14.09151,13.07643,12.75626,14.1565,13.13761,12.8406,14.22519,13.20786,12.9349,22,8,1
13.29383,12.9235,12.51111,13.45552,13.07173,12.72651,13.5149,13.13286,12.81125,13.57891,13.20309,12.90615,23,8,2
13.26889,12.88788,12.50794,13.43373,13.03932,12.72142,13.49417,13.10173,12.80563,13.55923,13.17341,12.90009,24,9,0
14.14226,12.89522,12.5557,14.32334,13.04698,12.76822,14.38692,13.10941,12.85159,14.45378,13.18106,12.94488,25,9,1
13.4658,12.88903,12.51554,13.63105,13.04049,12.72868,13.69076,13.10289,12.8127,13.75459,13.17455,12.90691,26,9,2
13.437,12.83071,12.49394,13.60716,12.99267,12.71384,13.66846,13.05888,12.80009,13.73389,13.13459,12.89655,27,10,0
14.16192,12.83773,12.53775,14.34702,12.99995,12.75676,14.41187,13.06618,12.84225,14.47998,13.14185,12.93766,28,10,1
13.45837,12.83085,12.49485,13.62994,12.99282,12.71476,13.69169,13.05904,12.801,13.75755,13.13475,12.89746,29,10,2
13.51343,12.94382,12.53813,13.67728,13.09253,12.75366,13.73654,13.15375,12.83825,13.7999,13.22403,12.9329,30,11,0
13.96362,12.94744,12.56253,14.15134,13.09645,12.77837,14.21797,13.15774,12.86283,14.28839,13.22806,12.95717,31,11,1
13.34358,12.94282,12.53132,13.50968,13.09153,12.74727,13.57061,13.15276,12.83208,13.63621,13.22306,12.927,32,11,2
13.35447,12.95469,12.52275,13.51938,13.10297,12.74239,13.57993,13.16402,12.82841,13.64514,13.23409,12.92452,33,12,0
13.96116,12.95918,12.55367,14.1406,13.10767,12.77262,14.20414,13.16875,12.85807,14.27123,13.23882,12.95341,34,12,1
13.34782,12.95466,12.5225,13.50668,13.1029,12.74194,13.56489,13.16394,12.82789,13.62757,13.234,12.92393,35,12,2
13.33052,12.92033,12.49713,13.49228,13.0745,12.72319,13.55147,13.13776,12.8114,13.61515,13.21022,12.90976,36,13,0
13.92733,12.92476,12.52744,14.109,13.07916,12.7529,14.1734,13.14246,12.84059,14.24146,13.21492,12.93824,37,13,1
13.30891,12.92021,12.49632,13.47062,13.07438,12.72243,13.52996,13.13764,12.81067,13.59389,13.2101,12.90907,38,13,2
13.2898,12.88689,12.47985,13.45463,13.04671,12.71042,13.515,13.11204,12.80012,13.57997,13.1867,12.90001,39,14,0
13.88568,12.89128,12.50941,14.06932,13.05131,12.73928,14.13443,13.11666,12.82845,14.20325,13.19131,12.9276,40,14,1
13.26769,12.88677,12.47904,13.43219,13.04659,12.70965,13.49255,13.11192,12.79938,13.55756,13.18658,12.89929,41,14,2
13.21249,12.78238,12.41509,13.38508,12.95653,12.65686,13.44807,13.02713,12.75038,13.51576,13.10743,12.85417,42,15,0
13.92033,12.78808,12.45185,14.10976,12.96241,12.69234,14.17657,13.03301,12.78506,14.24697,13.11326,12.88781,43,15,1
13.25954,12.78265,12.41684,13.43369,12.95681,12.65855,13.49703,13.0274,12.75203,13.56495,13.1077,12.85577,44,15,2
13.28668,12.84335,12.46521,13.45734,13.01107,12.70066,13.51953,13.07917,12.79185,13.58629,13.15672,12.89315,45,16,0
13.83506,12.84745,12.49206,14.02255,13.01535,12.72685,14.08909,13.08346,12.81755,14.15944,13.161,12.91819,46,16,1
13.21914,12.84298,12.46277,13.38862,13.0107,12.69834,13.45076,13.0788,12.78959,13.51768,13.15635,12.89097,47,16,2
13.14727,12.71544,12.40206,13.32825,12.90403,12.65058,13.39414,12.97964,12.74617,13.46486,13.06515,12.85197,48,17,0
13.69211,12.71946,12.42676,13.88246,12.9081,12.6742,13.95028,12.9837,12.76921,14.02224,13.06916,12.87429,49,17,1
13.07919,12.71507,12.39979,13.25633,12.90364,12.64834,13.32136,12.97926,12.74397,13.39151,13.06477,12.84983,50,17,2
13.08086,12.72056,12.40994,13.25696,12.90567,12.65322,13.32164,12.98017,12.74723,13.39145,13.06456,12.85153,51,18,0
13.43716,12.72277,12.42357,13.62537,12.90796,12.66648,13.69322,12.98245,12.76024,13.76565,13.06682,12.86421,52,18,1
12.88678,12.71964,12.40427,13.05901,12.90475,12.64783,13.12331,12.97925,12.74198,13.1933,13.06366,12.84647,53,18,2
12.84417,12.66605,12.39196,13.02141,12.85567,12.63228,13.08732,12.93178,12.72542,13.15893,13.0179,12.82892,54,19,0
12.84417,12.66605,12.39196,13.02141,12.85567,12.63228,13.08732,12.93178,12.72542,13.15893,13.0179,12.82892,55,19,1
12.84417,12.66605,12.39196,13.02141,12.85567,12.63228,13.08732,12.93178,12.72542,13.15893,13.0179,12.82892,56,19,2
12.93734,12.79806,12.45719,13.09984,12.96554,12.68332,13.16084,13.03371,12.77171,13.22741,13.11145,12.87037,57,20,0
14.01439,12.80606,12.50719,14.19831,12.97376,12.73182,14.26294,13.04191,12.81917,14.33094,13.11959,12.91647,58,20,1
13.33403,12.80008,12.47,13.50446,12.96759,12.69564,13.56612,13.03575,12.78372,13.63209,13.11347,12.88199,59,20,2
13.37045,12.87114,12.4987,13.53654,13.03289,12.72492,13.59682,13.09884,12.81304,13.66142,13.17411,12.91125,60,21,0
13.92998,12.87559,12.52765,14.1198,13.03761,12.75371,14.18694,13.1036,12.84149,14.2578,13.17889,12.93915,61,21,1
13.29622,12.87072,12.49589,13.46737,13.03249,12.72245,13.52983,13.09845,12.81072,13.59692,13.17374,12.90908,62,21,2
13.25542,12.76905,12.397,13.43202,12.94205,12.6387,13.49627,13.0123,12.73226,13.56517,13.09229,12.83615,63,22,0
13.92779,12.77467,12.4334,14.11597,12.94782,12.67364,14.18227,13.01806,12.76635,14.25211,13.09799,12.86915,64,22,1
13.26863,12.76913,12.39751,13.44176,12.94211,12.63905,13.50464,13.01235,12.73256,13.57203,13.09233,12.83639,65,22,2
13.15182,12.5052,12.24214,13.34303,12.71887,12.51177,13.4117,12.80366,12.61467,13.48487,12.89898,12.72807,66,23,0
13.52785,12.50835,12.26054,13.73362,12.72208,12.52959,13.8073,12.80688,12.63215,13.88567,12.90217,12.74514,67,23,1
12.88112,12.50357,12.23244,13.07645,12.71729,12.50292,13.14834,12.80213,12.60621,13.22597,12.8975,12.72007,68,23,2
13.03492,12.77069,12.38662,13.20561,12.94128,12.6267,13.26938,13.01068,12.71984,13.33878,13.08979,12.82336,69,24,0
13.88694,12.77699,12.42788,14.07587,12.94778,12.66646,14.14263,13.01718,12.75866,14.21306,13.09623,12.86097,70,24,1
13.23719,12.77174,12.39362,13.40983,12.94234,12.6333,13.47276,13.01174,12.72622,13.54034,13.09082,12.82947,71,24,2
13.25216,12.8032,12.41652,13.42218,12.96803,12.65022,13.48425,13.0353,12.74112,13.55094,13.11212,12.84231,72,25,0
13.03845,12.80211,12.40922,13.28638,12.96731,12.64571,13.38019,13.03474,12.73771,13.48212,13.11175,12.84009,73,25,1
12.68275,12.80074,12.39998,12.87471,12.96563,12.63516,12.95028,13.03296,12.72677,13.03427,13.10986,12.82879,74,25,2
12.72525,12.84876,12.43065,12.91023,13.00723,12.66042,12.98338,13.07219,12.7502,13.06487,13.14656,12.85037,75,26,0
13.72679,12.85424,12.46784,13.92631,13.01299,12.69682,13.99801,13.07798,12.78593,14.07424,13.15234,12.88517,76,26,1
13.14108,12.8504,12.44193,13.31503,13.00886,12.67086,13.37973,13.0738,12.76021,13.44985,13.14812,12.85986,77,26,2
13.12229,12.81946,12.42503,13.29888,12.98138,12.65588,13.36445,13.04759,12.74589,13.43544,13.12329,12.84621,78,27,0
12.99639,12.81888,12.42113,13.25435,12.98116,12.65452,13.35389,13.04754,12.74557,13.46317,13.12342,12.84704,79,27,1
12.66754,12.81767,12.41293,12.86232,12.97962,12.64479,12.94038,13.04588,12.73532,13.02796,13.12163,12.83627,80,27,2
12.70078,12.85669,12.44324,12.89008,13.01367,12.66991,12.96621,13.07809,12.75867,13.05179,13.15187,12.85782,81,28,0
13.07667,12.85809,12.45286,13.31643,13.01537,12.68071,13.4092,13.07988,12.76985,13.51137,13.15377,12.86936,82,28,1
12.7312,12.85678,12.44389,12.91499,13.01375,12.67042,12.98869,13.07816,12.75913,13.07151,13.15193,12.85821,83,28,2
12.78442,12.91944,12.49028,12.96059,13.06993,12.71088,13.03156,13.13189,12.79752,13.11154,13.203,12.89445,84,29,0
13.15028,12.92083,12.49994,13.38798,13.07165,12.72203,13.47998,13.13374,12.80917,13.5813,13.20498,12.90659,85,29,1
