lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47152,14.80715,11.75051,21.4645,14.82235,11.99718,21.47594,14.84221,12.09234,21.5736,14.94343,12.22566,0,1,0
21.50164,15.06913,12.60849,21.49923,15.11399,12.794,21.51205,15.1418,12.86511,21.60905,15.2373,12.96953,1,1,1
21.49268,14.99734,12.41838,21.48892,15.03491,12.61356,21.50133,15.06079,12.68861,21.59853,15.15768,12.79788,2,1,2
21.56105,15.05174,12.42574,21.55387,15.08447,12.61878,21.56347,15.10754,12.69307,21.65458,15.19982,12.80167,3,2,0
21.56775,15.1066,12.57955,21.56166,15.14559,12.76575,21.57159,15.1704,12.83702,21.66254,15.26136,12.94058,4,2,1
21.55993,15.04237,12.39785,21.55263,15.07445,12.59342,21.56219,15.09735,12.66857,21.65329,15.18952,12.77733,5,2,2
21.49035,14.98594,12.3861,21.47878,15.01677,12.58183,21.48468,15.0376,12.65681,21.56922,15.12488,12.765,6,3,0
21.49698,15.04006,12.53427,21.48688,15.07981,12.72895,21.4933,15.10359,12.80297,21.57788,15.19107,12.90877,7,3,1
21.48906,14.97517,12.35485,21.47756,15.00691,12.55764,21.4835,15.02823,12.63504,21.56812,15.11623,12.74534,8,3,2
21.65391,15.11125,12.38619,21.64685,15.14153,12.58643,21.65636,15.16387,12.66327,21.74401,15.25385,12.77339,9,4,0
21.66479,15.20195,12.65552,21.65924,15.24058,12.83797,21.66924,15.26549,12.90874,21.75702,15.35617,13.01604,10,4,1
21.65688,15.13674,12.4669,21.65008,15.16822,12.65809,21.65969,15.19101,12.7324,21.74748,15.28203,12.8437,11,4,2
21.50299,15.01399,12.45027,21.49095,15.04627,12.64291,21.49567,15.06711,12.71739,21.57231,15.15032,12.82794,12,5,0
21.50846,15.05808,12.56795,21.49735,15.09552,12.75547,21.50237,15.11786,12.82753,21.57899,15.20061,12.93432,13,5,1
21.50038,14.99234,12.38912,21.48793,15.02227,12.58532,21.49249,15.04224,12.66087,21.56904,15.12488,12.77172,14,5,2
21.34842,14.87198,12.36906,21.32465,14.89849,12.56609,21.31974,14.91347,12.6415,21.3812,14.98608,12.75162,15,6,0
