lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.44552,12.89632,12.49706,12.57352,13.0784,12.75346,12.62814,13.15383,12.85459,12.69206,13.24066,12.96799,0,1,0
13.88288,12.90368,12.5458,14.07083,13.08593,12.79986,14.13785,13.16133,12.89962,14.20897,13.24806,13.01128,1,1,1
13.26157,12.89922,12.5165,13.43378,13.08137,12.77195,13.49763,13.15679,12.87253,13.56692,13.24358,12.98523,2,1,2
13.2914,12.9501,12.54286,13.45867,13.12308,12.79121,13.52086,13.19514,12.88945,13.58847,13.27837,12.99978,3,2,0
13.91556,12.95449,12.57243,14.10216,13.12763,12.81965,14.16879,13.19969,12.91714,14.23954,13.28288,13.02651,4,2,1
13.30504,12.95017,12.54333,13.47419,13.12316,12.79171,13.53703,13.19523,12.88995,13.6053,13.27845,13.00029,5,2,2
13.29624,12.93322,12.5313,13.46611,13.10675,12.77947,13.52917,13.17906,12.87768,13.59765,13.26256,12.98801,6,3,0
13.85287,12.93708,12.55718,14.04714,13.11082,12.8048,14.11691,13.18315,12.90251,14.19119,13.26664,13.01215,7,3,1
13.25292,12.933,12.5298,13.42682,13.10655,12.77821,13.49177,13.17887,12.87652,13.56247,13.26238,12.98697,8,3,2
13.30116,13.01801,12.58816,13.46874,13.18234,12.82927,13.53161,13.25115,12.92503,13.60021,13.33085,13.03281,9,4,0
13.97464,13.0226,12.61978,14.15911,13.18711,12.85969,14.22502,13.25592,12.95465,14.29501,13.33558,13.06139,10,4,1
13.36972,13.01835,12.59053,13.53487,13.18267,12.83139,13.59628,13.25147,12.92703,13.66302,13.33116,13.03468,11,4,2
13.34187,12.97182,12.56864,13.51067,13.14139,12.81146,13.57328,13.2122,12.90783,13.64123,13.29408,13.01628,12,5,0
13.8365,12.97515,12.5911,14.02359,13.14488,12.83331,14.09071,13.2157,12.9292,14.16217,13.29756,13.03699,13,5,1
13.25562,12.97138,12.5657,13.42264,13.14095,12.80868,13.48509,13.21176,12.90514,13.55316,13.29365,13.0137,14,5,2
