lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47153,14.80992,11.77119,21.4645,14.82581,12.01797,21.47594,14.84587,12.1129,21.5736,14.94707,12.24561,0,1,0
21.49932,15.05311,12.57163,21.49679,15.09838,12.76377,21.50955,15.12621,12.83649,21.60646,15.22095,12.93965,1,1,1
21.49104,14.98602,12.39061,21.48719,15.02396,12.59179,21.49957,15.04989,12.66831,21.59669,15.14622,12.77663,2,1,2
21.55952,15.041,12.39805,21.55225,15.07403,12.597,21.56181,15.09711,12.67275,21.65285,15.18881,12.78039,3,2,0
21.56456,15.08286,12.51869,21.55809,15.12057,12.71125,21.56786,15.14465,12.7837,21.65887,15.23609,12.88912,4,2,1
21.55769,15.02538,12.35047,21.55011,15.05653,12.55194,21.55956,15.07889,12.62826,21.65071,15.17146,12.73874,5,2,2
21.48793,14.96796,12.33812,21.47608,14.99776,12.53976,21.48184,15.01798,12.6159,21.5664,15.10557,12.72581,6,3,0
21.49326,15.01227,12.46397,21.48231,15.04736,12.65909,21.48834,15.06896,12.73217,21.57284,15.15591,12.83825,7,3,1
21.48644,14.95522,12.29993,21.47433,14.98346,12.50373,21.48,15.00314,12.58058,21.56456,15.09077,12.69135,8,3,2
21.65168,15.09389,12.33323,21.64413,15.12111,12.53437,21.65341,15.14206,12.61066,21.74103,15.23177,12.72125,9,4,0
21.66056,15.16949,12.56824,21.65434,15.2048,12.75549,21.66404,15.22802,12.82639,21.75148,15.3162,12.92943,10,4,1
21.65395,15.11366,12.39839,21.64668,15.14257,12.59404,21.65606,15.16406,12.66861,21.74361,15.25322,12.77665,11,4,2
21.49957,14.98789,12.38079,21.48695,15.01729,12.57799,21.49139,15.03659,12.65274,21.5677,15.11743,12.75993,12,5,0
