lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.44564,12.89982,12.49779,12.57373,13.08257,12.75437,12.62841,13.15826,12.8556,12.6924,13.24537,12.96911,0,1,0
13.91059,12.90742,12.54825,14.11228,13.09047,12.80319,14.1843,13.16618,12.90326,14.26071,13.25323,13.01523,1,1,1
13.28195,12.90281,12.51793,13.4648,13.08568,12.77385,13.53253,13.16138,12.8746,13.6059,13.24847,12.98749,2,1,2
13.31125,12.95366,12.54451,13.48896,13.12725,12.79317,13.55498,13.19954,12.8915,13.62662,13.28299,13.00193,3,2,0
13.84374,12.95728,12.56901,14.04527,13.1311,12.81732,14.11771,13.20342,12.91525,14.19482,13.28688,13.02508,4,2,1
13.25365,12.95337,12.54254,13.43268,13.12697,12.79137,13.4996,13.19926,12.88978,13.57243,13.28272,13.00032,5,2,2
13.24426,12.93599,12.52993,13.42412,13.11005,12.77851,13.49129,13.18256,12.87688,13.56437,13.26627,12.9874,6,3,0
13.76668,12.93935,12.55263,13.97071,13.11364,12.80098,14.04432,13.18618,12.899,14.12282,13.2699,13.00899,7,3,1
13.19196,12.93573,12.52822,13.37152,13.1098,12.7769,13.43896,13.18231,12.87533,13.51252,13.26602,12.98593,8,3,2
13.24332,13.0211,12.58741,13.41594,13.18598,12.82874,13.48109,13.255,12.92461,13.55233,13.33491,13.03252,9,4,0
13.90602,13.02533,12.61666,14.10041,13.19044,12.8573,14.1702,13.25948,12.95257,14.24446,13.33938,13.05965,10,4,1
13.32339,13.02148,12.59004,13.49434,13.18635,12.83115,13.55821,13.25536,12.9269,13.62774,13.33526,13.03468,11,4,2
13.29391,12.97414,12.56684,13.46888,13.14439,12.81015,13.53408,13.21547,12.90675,13.60496,13.29766,13.01547,12,5,0
13.72331,12.9768,12.58486,13.92075,13.14724,12.82808,13.99257,13.21836,12.92444,14.06954,13.30056,13.03279,13,5,1
