lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.44357,12.89345,12.49284,12.57067,13.0744,12.74802,12.62492,13.14939,12.8487,12.68839,13.23574,12.96162,0,1,0
13.88207,12.90082,12.54176,14.06985,13.08196,12.79464,14.13679,13.15692,12.89397,14.20782,13.24316,13.00516,1,1,1
13.26045,12.89636,12.51236,13.43232,13.07738,12.7666,13.49602,13.15236,12.86673,13.56514,13.23866,12.97896,2,1,2
13.29042,12.94767,12.53926,13.45731,13.11947,12.78627,13.51935,13.19105,12.88398,13.58676,13.27373,12.99375,3,2,0
13.91498,12.95208,12.56894,14.10139,13.12404,12.81484,14.16794,13.19562,12.91183,14.23859,13.27826,13.02063,4,2,1
13.30417,12.94774,12.53974,13.47296,13.11955,12.78678,13.53565,13.19114,12.88449,13.60372,13.27381,12.99426,5,2,2
13.29502,12.92972,12.52603,13.46437,13.10155,12.77225,13.52721,13.17316,12.86971,13.59541,13.25588,12.97924,6,3,0
13.85208,12.93359,12.55205,14.04607,13.10564,12.79775,14.11573,13.17727,12.89473,14.18986,13.25998,13.00358,7,3,1
13.25167,12.9295,12.52453,13.42503,13.10135,12.77098,13.48975,13.17297,12.86854,13.56018,13.2557,12.97819,8,3,2
13.30027,13.01564,12.58458,13.46747,13.17878,12.82429,13.53018,13.2471,12.91951,13.59858,13.32624,13.02671,9,4,0
13.98816,13.02037,12.61721,14.17237,13.1837,12.8557,14.23811,13.25202,12.95011,14.30789,13.33113,13.05624,10,4,1
13.37904,13.01603,12.58732,13.54397,13.17916,12.82677,13.60521,13.24747,12.92186,13.67171,13.3266,13.02891,11,4,2
13.35155,12.96977,12.5659,13.52011,13.13818,12.80732,13.58255,13.2085,12.90315,13.65025,13.28984,13.011,12,5,0
13.83586,12.97306,12.58805,14.02275,13.14162,12.82891,14.08979,13.21196,12.92428,14.16114,13.29328,13.0315,13,5,1
13.25475,12.96928,12.56258,13.42139,13.13768,12.80417,13.48367,13.20801,12.9001,13.55154,13.28935,13.00808,14,5,2
13.23201,12.93,12.53722,13.40134,13.10196,12.7809,13.46451,13.17366,12.87759,13.53326,13.25651,12.9864,15,6,0
13.71659,12.93304,12.55748,13.91066,13.1052,12.80093,13.98078,13.17692,12.89731,14.05565,13.25977,13.00563,16,6,1
13.15635,12.92964,12.53483,13.32802,13.10162,12.77874,13.39266,13.17333,12.87555,13.46333,13.25619,12.98448,17,6,2
13.15859,12.93577,12.54335,13.33011,13.10748,12.78627,13.39472,13.1791,12.88276,13.46537,13.26188,12.9914,18,7,0
13.75098,12.93941,12.56755,13.93901,13.11125,12.80966,14.00666,13.18287,12.90557,14.07879,13.26562,13.01344,19,7,1
13.18144,12.93587,12.54405,13.34999,13.10757,12.78683,13.41326,13.17918,12.88327,13.48235,13.26196,12.99185,20,7,2
13.1938,12.9551,12.55463,13.3602,13.12309,12.79421,13.42276,13.19343,12.88969,13.49115,13.27488,12.99737,21,8,0
13.91344,12.95992,12.58682,14.09966,13.12809,12.82532,14.16612,13.19842,12.92002,14.23666,13.27983,13.02667,22,8,1
13.30341,12.95563,12.55822,13.47095,13.12363,12.79759,13.53317,13.19396,12.89295,13.60076,13.2754,13.00047,23,8,2
13.27918,12.92241,12.55732,13.4499,13.09392,12.79457,13.51321,13.16568,12.8894,13.58191,13.24876,12.99651,24,9,0
