lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47152,14.80591,11.73997,21.4645,14.82043,11.98409,21.47594,14.84002,12.07846,21.5736,14.9411,12.21131,0,1,0
21.49687,15.03049,12.5067,21.49376,15.07125,12.69574,21.50638,15.09796,12.7684,21.60364,15.19526,12.87736,1,1,1
21.48932,14.96812,12.33121,21.48506,15.00224,12.52963,21.49732,15.02717,12.6061,21.59471,15.12541,12.71934,2,1,2
21.55791,15.02409,12.33922,21.55025,15.0534,12.53529,21.5597,15.07548,12.61094,21.65097,15.16891,12.72344,3,2,0
21.56457,15.07998,12.50455,21.55795,15.11546,12.69184,21.56771,15.13915,12.76361,21.6588,15.23109,12.87007,4,2,1
21.5577,15.02228,12.33357,21.55001,15.05145,12.53011,21.55945,15.0734,12.60572,21.65065,15.1663,12.71702,5,2,2
21.48795,14.96472,12.32126,21.47597,14.99244,12.51798,21.48172,15.01222,12.59342,21.56635,15.10014,12.70413,6,3,0
21.4936,15.0118,12.45633,21.48292,15.04787,12.65288,21.48913,15.07043,12.72765,21.57384,15.15885,12.83661,7,3,1
21.48667,14.95385,12.28827,21.47476,14.9825,12.49259,21.48056,15.00278,12.57064,21.56527,15.09145,12.68365,8,3,2
21.65188,15.0926,12.32132,21.64449,15.12013,12.52285,21.65388,15.14159,12.60027,21.74162,15.2322,12.71302,9,4,0
21.66193,15.17791,12.58648,21.6559,15.21336,12.76967,21.66574,15.23727,12.84088,21.75364,15.32883,12.9511,10,4,1
21.65486,15.11856,12.40722,21.64773,15.14739,12.59904,21.65722,15.16933,12.67372,21.7451,15.26098,12.78754,11,4,2
21.50064,14.99339,12.38951,21.48818,15.02268,12.58287,21.49276,15.04251,12.65775,21.56947,15.12624,12.77081,12,5,0
21.50598,15.03726,12.51114,21.49441,15.0716,12.69862,21.49928,15.09288,12.7708,21.57597,15.1762,12.87988,13,5,1
21.49864,14.9765,12.34001,21.48585,15.00382,12.53606,21.4903,15.02288,12.6117,21.5669,15.1059,12.72446,14,5,2
21.34639,14.85416,12.31927,21.3222,14.87768,12.51627,21.31714,14.89154,12.59178,21.37862,14.96437,12.70384,15,6,0
21.34857,14.87201,12.36662,21.325,14.89948,12.56493,21.32014,14.91441,12.63983,21.38154,14.98641,12.74843,16,6,1
21.34182,14.81587,12.21268,21.31698,14.83583,12.41894,21.31162,14.84816,12.49709,21.37283,14.91932,12.60941,17,6,2
21.33059,14.80727,12.21585,21.30598,14.82793,12.42227,21.30033,14.84023,12.50049,21.35714,14.90819,12.61245,18,7,0
21.33912,14.87756,12.40434,21.31587,14.90557,12.59704,21.31073,14.9204,12.6701,21.36771,14.9888,12.7762,19,7,1
21.33179,14.81745,12.24456,21.30724,14.83811,12.4462,21.30161,14.85037,12.52281,21.35837,14.9179,12.63293,20,7,2
21.37546,14.8525,12.24751,21.35492,14.87463,12.44802,21.35179,14.88812,12.52436,21.40363,14.95148,12.63377,21,8,0
21.39174,14.98314,12.58608,21.37392,15.01991,12.76843,21.37195,15.03928,12.8393,21.42528,15.11135,12.95262,22,8,1
21.38199,14.90673,12.39672,21.36252,14.93499,12.58803,21.35989,14.95127,12.66228,21.41261,15.02051,12.77771,23,8,2
21.19382,14.76556,12.38874,21.16822,14.79641,12.58007,21.15863,14.81066,12.65406,21.18299,14.86342,12.76801,24,9,0
21.21151,14.89486,12.66426,21.189,14.93918,12.84275,21.18078,14.95898,12.91243,21.20725,15.02079,13.02699,25,9,1
21.19833,14.79992,12.46601,21.17351,14.83442,12.65318,21.16428,14.85033,12.72604,21.18932,14.90654,12.84166,26,9,2
21.07624,14.71495,12.46338,21.06018,14.76065,12.65346,21.05641,14.7821,12.72738,21.07854,14.83885,12.8434,27,10,0
21.09286,14.82935,12.68312,21.07933,14.88418,12.86108,21.0765,14.90834,12.92958,21.10015,14.96982,13.04195,28,10,1
21.0773,14.7226,12.47883,21.06128,14.76811,12.66651,21.05744,14.78893,12.73873,21.07948,14.84483,12.85278,29,10,2
21.45327,14.99484,12.50536,21.44457,15.03163,12.69077,21.44972,15.05332,12.76263,21.50809,15.12701,12.87761,30,11,0
21.46162,15.0596,12.66417,21.45473,15.10649,12.84976,21.46066,15.13252,12.92285,21.51987,15.21084,13.04051,31,11,1
21.45161,14.98156,12.47083,21.44304,15.01988,12.66452,21.44834,15.04292,12.74058,21.50688,15.11805,12.85939,32,11,2
21.59083,15.08961,12.47835,21.58598,15.12605,12.6711,21.59623,15.15102,12.7471,21.67881,15.24228,12.86745,33,12,0
21.59563,15.12887,12.58839,21.59123,15.1672,12.7704,21.60151,15.19181,12.84087,21.68364,15.27936,12.95054,34,12,1
21.5881,15.06669,12.41023,21.58256,15.09842,12.60098,21.59248,15.12112,12.67501,21.67454,15.20847,12.78813,35,12,2
21.57842,15.05883,12.40888,21.57634,15.09369,12.6012,21.58932,15.11887,12.67589,21.67861,15.21182,12.7899,36,13,0
21.5846,15.11004,12.55615,21.58359,15.15141,12.74383,21.5969,15.17845,12.81629,21.68608,15.27039,12.92534,37,13,1
21.57731,15.04941,12.38015,21.57518,15.08417,12.57645,21.58815,15.10938,12.65242,21.67735,15.20165,12.76527,38,13,2
21.53262,15.0128,12.37179,21.53198,15.05003,12.56951,21.54634,15.07671,12.64598,21.64025,15.17273,12.75955,39,14,0
21.53921,15.0673,12.52679,21.53946,15.10953,12.71473,21.55406,15.1373,12.78705,21.6478,15.23192,12.89523,40,14,1
21.53192,15.00685,12.35388,21.5311,15.04281,12.551,21.54538,15.06897,12.62709,21.63922,15.1644,12.73957,41,14,2
21.37748,14.88206,12.3297,21.37857,14.9241,12.5303,21.39441,14.95286,12.60748,21.49268,15.05183,12.72084,42,15,0
21.38758,14.96268,12.5367,21.3903,15.01367,12.72835,21.40664,15.04494,12.80205,21.50487,15.14356,12.9122,43,15,1
21.37856,14.89097,12.35393,21.37992,14.9348,12.55513,21.39587,14.96425,12.63266,21.49422,15.06379,12.74692,44,15,2
21.43893,14.9398,12.3699,21.44352,14.98437,12.57027,21.46117,15.01453,12.64754,21.55371,15.10963,12.7609,45,16,0
21.44449,14.98511,12.49144,21.45,15.03494,12.68693,21.46793,15.06657,12.76225,21.56037,15.16078,12.87179,46,16,1
21.43703,14.92395,12.3251,21.44142,14.96746,12.52944,21.45903,14.99752,12.60838,21.55154,15.09243,12.72207,47,16,2
