lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
12.44373,12.89271,12.49303,12.57053,13.07275,12.74755,12.62462,13.14736,12.84796,12.68793,13.23326,12.96058,0,1,0
13.71466,12.8986,12.53225,13.89686,13.07878,12.78483,13.96211,13.15335,12.88412,14.03154,13.23917,12.99531,1,1,1
13.1408,12.89503,12.50863,13.30658,13.07512,12.76237,13.36859,13.14972,12.86233,13.43626,13.23559,12.97437,2,1,2
13.17439,12.94608,12.53514,13.3348,13.11711,12.78185,13.39501,13.18838,12.87949,13.46081,13.27072,12.98919,3,2,0
13.74781,12.94958,12.5589,13.92871,13.12074,12.80469,13.99361,13.19201,12.90172,14.06272,13.27432,13.01064,4,2,1
13.18598,12.94613,12.5355,13.34861,13.11717,12.78225,13.4096,13.18845,12.87989,13.47621,13.27079,12.9896,5,2,2
13.17615,12.92948,12.52378,13.33958,13.10119,12.77045,13.40082,13.17275,12.86811,13.46768,13.25541,12.97787,6,3,0
13.67523,12.93246,12.54394,13.8653,13.10435,12.79028,13.93401,13.17594,12.88758,14.00742,13.2586,12.99682,7,3,1
13.1285,12.92926,12.52232,13.29647,13.101,12.76923,13.35989,13.17257,12.86699,13.42933,13.25525,12.97686,8,3,2
13.1828,13.01403,12.58046,13.34389,13.17647,12.81995,13.40499,13.2445,12.91511,13.47207,13.32333,13.02226,9,4,0
13.8356,13.01796,12.60765,14.01471,13.18054,12.84605,14.07891,13.24857,12.94051,14.14725,13.32736,13.04673,10,4,1
13.27113,13.01443,12.58322,13.43019,13.17685,12.82244,13.48978,13.24488,12.91747,13.55483,13.32369,13.02447,11,4,2
13.24046,12.96802,12.56168,13.40345,13.13577,12.803,13.46435,13.20584,12.89882,13.53073,13.28689,13.00669,12,5,0
13.71995,12.97093,12.58136,13.89976,13.1388,12.82201,13.96446,13.20887,12.91736,14.03346,13.28989,13.0246,13,5,1
13.17468,12.96772,12.55962,13.33468,13.13546,12.80101,13.39489,13.20552,12.89688,13.46079,13.28658,13.00482,14,5,2
13.15011,12.92874,12.53461,13.31293,13.10014,12.77816,13.37407,13.17162,12.87483,13.4409,13.25422,12.98362,15,6,0
13.58337,12.93118,12.55092,13.77088,13.10273,12.79428,13.83898,13.17423,12.89068,13.91194,13.25683,12.99907,16,6,1
13.06661,12.92838,12.53218,13.2317,13.09979,12.77598,13.29442,13.17128,12.87276,13.36334,13.25389,12.98169,17,6,2
13.06895,12.9342,12.54034,13.23384,13.10516,12.78293,13.29649,13.17648,12.87932,13.36536,13.25893,12.98786,18,7,0
13.62244,12.93725,12.56068,13.80324,13.1083,12.80247,13.86857,13.17962,12.89833,13.93841,13.26203,13.00618,19,7,1
13.09388,12.93431,12.54104,13.25567,13.10525,12.7835,13.31688,13.17657,12.87983,13.38407,13.25901,12.98831,20,7,2
13.10737,12.95359,12.55169,13.2669,13.1209,12.791,13.32738,13.19096,12.88641,13.39382,13.27211,12.99401,21,8,0
13.80525,12.95784,12.58011,13.98525,13.12528,12.81834,14.04962,13.19533,12.91302,14.11806,13.27643,13.01966,22,8,1
13.22631,12.95413,12.55529,13.38785,13.12143,12.79439,13.44819,13.19149,12.88967,13.51398,13.27263,12.99713,23,8,2
13.19999,12.92047,12.55388,13.3649,13.09143,12.79111,13.42639,13.16297,12.88594,13.49338,13.2458,12.99305,24,9,0
