lowInc_0_autos,lowInc_autos_lt_workers,lowInc_autos_ge_workers,medInc_0_autos,medInc_autos_lt_workers,medInc_autos_ge_workers,highInc_0_autos,highInc_autos_lt_workers,highInc_autos_ge_workers,veryHighInc_0_autos,veryHighInc_autos_lt_workers,veryHighInc_autos_ge_workers,destChoiceAlt,taz,subzone
21.47152,14.80721,11.75132,21.4645,14.82243,11.99806,21.47594,14.84229,12.09323,21.5736,14.94351,12.22654,0,1,0
21.50164,15.06917,12.60882,21.49923,15.11404,12.79438,21.51205,15.14185,12.8655,21.60905,15.23736,12.96994,1,1,1
21.49268,14.99738,12.41878,21.48892,15.03496,12.61403,21.50133,15.06085,12.68909,21.59853,15.15774,12.79837,2,1,2
21.56105,15.05178,12.42612,21.55387,15.08452,12.61921,21.56347,15.10759,12.69352,21.65458,15.19988,12.80213,3,2,0
21.56775,15.10662,12.57985,21.56165,15.14563,12.7661,21.57159,15.17044,12.83739,21.66254,15.26141,12.94096,4,2,1
21.55993,15.0424,12.39822,21.55263,15.07449,12.59385,21.56219,15.09739,12.66901,21.65329,15.18958,12.77778,5,2,2
21.49034,14.98598,12.38649,21.47878,15.01682,12.58225,21.48468,15.03765,12.65725,21.56922,15.12493,12.76544,6,3,0
21.49698,15.04009,12.53461,21.48688,15.07986,12.72932,21.4933,15.10364,12.80336,21.57788,15.19113,12.90917,7,3,1
21.48906,14.97521,12.35526,21.47756,15.00696,12.55808,21.4835,15.02828,12.6355,21.56812,15.11629,12.7458,8,3,2
21.6539,15.11129,12.38659,21.64685,15.14157,12.58688,21.65636,15.16392,12.66374,21.74401,15.25391,12.77387,9,4,0
21.66479,15.20199,12.65584,21.65924,15.24063,12.83832,21.66924,15.26554,12.90912,21.75702,15.35622,13.01643,10,4,1
21.65688,15.13678,12.46728,21.65008,15.16827,12.65853,21.65969,15.19107,12.73285,21.74748,15.28209,12.84416,11,4,2
21.50299,15.01403,12.45064,21.49095,15.04632,12.64332,21.49567,15.06717,12.71782,21.57231,15.15038,12.82838,12,5,0
21.50846,15.05811,12.56826,21.49734,15.09557,12.75583,21.50237,15.11791,12.8279,21.57899,15.20066,12.93471,13,5,1
21.50038,14.99238,12.3895,21.48793,15.02232,12.58575,21.49249,15.04229,12.66132,21.56904,15.12494,12.77218,14,5,2
21.34842,14.87201,12.36939,21.32465,14.89854,12.56649,21.31974,14.91353,12.64192,21.3812,14.98615,12.75206,15,6,0
21.35076,14.89087,12.41781,21.32771,14.92192,12.61716,21.32304,14.93821,12.69232,21.38444,15.01012,12.79927,16,6,1
21.34337,14.83023,12.25662,21.31889,14.85318,12.46396,21.31367,14.86665,12.54239,21.37488,14.93783,12.65337,17,6,2
21.33215,14.82179,12.25978,21.30791,14.84546,12.46728,21.3024,14.85892,12.54576,21.35922,14.92695,12.65641,18,7,0
