Superdistrict_ID,Link ID of a highway link (>2 lanes if possible) near the middle of the superdistrict),A,B,Lanes
1,21347,7493,7494,4
2,20913,7359,13624,3
3,19561,6924,6923,5
4,20551,7249,13527,3
5,18684,6633,6645,4
6,17560,6275,6203,4
7,16946,6064,6036,4
8,12437,4679,5904,4
9,15437,5604,5305,4
10,12256,4618,4551,4
11,13149,4908,4910,5
12,15976,5753,5737,4
13,11218,4313,4356,3
14,10858,4204,4226,3
15,6332,2760,8317,5
16,9505,3776,3775,4
17,8601,3498,2739,5
18,7463,3144,2958,4
19,5478,2505,2508,4
20,4801,2285,2281,4
21,4089,2041,2047,3
22,3603,1884,1882,6
23,3133,1739,1737,3
24,22196,7756,15961,3
25,29647,11766,11761,4
26,29998,11878,11872,4
27,24769,8629,8642,2
28,24729,8615,8616,2
29,24175,8410,8247,3
30,23986,8354,8408,3
31,32355,14507,8472,2
32,23087,8063,8066,3
33,22714,7934,7940,4
34,22434,7838,7845,4
