ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
1,1,1,1,43,69,77,29,1,42,30,8,3,2,20.3,1,15,0.24,14051,3,6,28,25,15,996,8342,2048,1994,4,667,218,716,0,0,0,0,3,5.45336,0,43,1,8
2,1,1,1,141,223,248,93,5,136,98,25,11,7,31.1,1,24,0.24,22071,8,19,90,81,50,1565,13102,3217,3132,7,1048,218,716,0,0,0,0,1,5.44111,0,141,2,25
3,1,1,1,256,406,452,170,8,248,178,46,20,12,14.7,1,2,0.24,1762,15,35,163,148,91,125,1045,257,250,1,84,218.08298,716.27252,0,0,0,0,1,5.41257,0,256,3,46
4,1,1,1,74,116,129,49,2,72,51,13,6,4,19.3,1,18,0.24,16937,4,10,47,42,26,1201,10055,2469,2403,5,804,191,314,0,0,0,0,2,5.45635,0,74,4,13
5,1,1,1,496,784,874,328,16,480,344,89,39,24,52.7,1,15,0.24,14723,29,68,315,286,176,1044,8740,2146,2089,5,699,191.0087,314.01431,0,0,63.13295,0,1,5.48443,0,496,5,90
6,1,1,1,2194,3217,3833,1660,0,2194,1172,651,244,127,29,7,8,0.14,2274,73,216,2202,896,446,146,322,1534,202,0,70,150,546,0,0,0,0,1,4.66107,0,2194,6,616
7,1,1,1,3657,5362,5807,2739,0,3657,2615,691,266,85,45,13,14,0.19,4857,161,399,2536,1800,911,347,590,3446,315,0,159,205,600,0,0,0,0,1,4.79331,0,3657,7,445
8,1,1,1,4261,6978,9192,2173,17,4244,3754,324,155,28,51,8,15,0.25,2663,350,792,2849,3263,1938,78,524,1345,582,2,132,116,443,0,0,0,0,2,4.34911,0,4261,8,2214
9,1,1,1,4952,8410,9050,3537,32,4920,3753,769,380,50,112,9,47,0.16,11990,358,904,4243,2326,1219,149,2677,3042,5844,0,278,95,157,0,23.43595,1781.25964,18.03404,2,4.58932,0,4952,9,640
10,1,1,1,1643,2807,2904,1356,9,1634,1043,290,214,96,73.5,7,35,0.15,7811,82,252,1244,1008,318,533,1624,1567,3385,12,690,89,273,0,0,604.27386,0,3,4.50066,0,1643,10,97
11,1,1,1,2656,4537,4693,2192,14,2642,1687,468,346,155,81,12,38,0.15,9125,132,407,2010,1630,514,622,1898,1831,3955,13,806,116,259,0,0,0,0,3,4.54921,0,2656,11,156
12,1,1,1,167,250,259,151,0,167,50,39,26,52,53.3,1,16,0.09,9167,2,3,152,88,14,301,4561,1435,2071,22,777,177,778,0,0,3005.15063,2079.79346,3,5.12652,0,167,12,9
13,1,1,1,163,247,256,149,0,163,49,38,25,51,26.5,1,19,0.09,11210,2,3,150,87,14,368,5578,1755,2532,27,950,177,778,0,303.48486,1504.37219,3346.96802,3,5.14603,0,163,13,9
14,1,1,1,121,182,188,110,0,121,36,28,19,38,30.6,1,26,0.09,15616,2,2,110,64,10,513,7769,2445,3527,38,1324,198.0088,819.03644,0,0,744.97064,220.06685,3,5.15788,0,121,14,6
15,1,1,1,767,1151,1196,696,0,767,230,178,119,240,28.5,3,14,0.09,7831,10,15,700,407,64,257,3896,1226,1769,19,664,198,819,0,0,0,0,3,5.11058,0,767,15,45
16,1,1,1,1319,2153,2275,1427,9,1310,300,206,318,495,123.4,6,72,0.08,37950,47,61,1468,593,106,4482,14707,2892,13635,83,2151,260.79288,845.98657,0,0,0,0,2,5.07109,0,1319,16,122
