7488 12401  0.05    ; Embarcadero  ---- MUNI METRO STREETCAR LINES J, K, L, M, N  ** 4 stops added to N line for 1998 extension to 4th and King
7499 12401  0.05    ; **This file updated with new nodes for RVAL 2000. 8/22. SI.
7507 12402  0.05    ; Montgomery Street
7509 12402  0.05    
7518 12403  0.05    ; Powell Street
7628 12404  0.05    ; Civic Center
7556 12405  0.05    ; Van Ness Muni Metro
7199 12460  0.05    ; Duboce/Church Muni Metro  ---- MUNI METRO STREETCAR LINES J and N
13561 12484 0.05    ; Church/Market Muni Metro  ---- MUNI METRO STREETCAR LINE J
13562 12485 0.05    ; Church/16th Muni Metro
13563 12487 0.05    ; ROW/18th Street Muni Metro
13564 12490 0.05    ; ROW/21st Street Muni Metro
7152 12495  0.05    ; Church/24th Street Muni Metro
7150 12491  0.05    ; Church/Clipper Muni Metro
7308 12492  0.05    ; Church/27th Street Muni Metro
13582 12493 0.05    ; Church/29th Street Muni Metro
7159 12494  0.05    ; Church/30th Street Muni Metro
13561 12406 0.05    ; Church Street Muni Metro Station  ---- MUNI METRO STREETCAR LINES K, L, M
7201 12407  0.05    ; Castro Street Muni Metro Station
7238 12408  0.05    ; Forest Hill Muni Metro Station
7242 12409  0.05    ; West Portal/Ulloa Muni Metro Station
7243 12410  0.05    ; West Portal/14th Avenue Muni Metro Stop  ---- MUNI METRO STREETCAR LINES K and M
7244 12411  0.05    ; St. Francis Circle Muni Metro Stop
6898 12428  0.05    ; Junipero Serra/Ocean Ave. Muni Metro Stop  ---- MUNI METRO STREETCAR LINE K
6888 12431  0.05    ; Ocean Avenue/Cerritos Muni Metro Stop
7230 12432  0.05    ; Ocean Avenue/Victoria Muni Metro Stop
7225 12434  0.05    ; (Western) Ocean/Plymouth Muni Metro Stop
6884 12435  0.05    ; (Eastern) Ocean/Plymouth Muni Metro Stop
6883 12436  0.05    ; Ocean/Phelan Muni Metro Stop
6846 12437  0.05    ; Ocean/San Jose Muni Metro Stop
6847 12438  0.05    ; Balboa Park Muni Metro Stop (/BART Stn)
7248 12415  0.05    ; ROW/Sloat Muni Metro Stop  ---- MUNI METRO STREETCAR LINE M
7229 12416  0.05    ; ROW/Ocean Muni Metro Stop
6897 12417  0.05    ; 19th Avenue/Winston Muni Metro Stop
6901 12419  0.05    ; 19th Avenue/Holloway Muni Metro Stop
6894 12421  0.05    ; 19th Avenue/Junipero Serra Muni Metro Stop
7236 12423  0.05    ; Randolph/Arch Muni Metro Stop
7235 12424  0.05    ; Broad/Orizaba Muni Metro Stop
13647 12427 0.05    ; Broad/Plymouth Muni Metro Stop
13648 12425 0.05    ; San Jose/Farallones Muni Metro Stop
6847 12426  0.05    ; San Jose/Ocean Avenue Muni Metro Stop
